Ubigeo,Departamento,Provincia,Distrito,Poblacion,Superficie,hogares_saneamiento_pct,poblacion_pobreza_PCT,viviendas_con_servicio_de_luz,,,
10202,Amazonas,Bagua,ARAMANGO,10940,"809,07",61.44,"62,90",87.08,100,,
10201,Amazonas,Bagua,BAGUA,26091,"150,99",89.46,"25,40",27.50,100,,
10302,Amazonas,Bongara,CHISQUILLA,335,"174,96",88.20,"59,80",48.96,100,,3 minimo 
10102,Amazonas,Chachapoyas,ASUNCION,288,"25,71",73.42,"73,40",63.67,100,,
10103,Amazonas,Chachapoyas,BALSAS,1644,"357,09",89.80,"37,80",51.32,100,,
10402,Amazonas,Condorcanqui,EL CENEPA,9620,"5458,48",88.66,"91,10",46.89,100,,
10401,Amazonas,Condorcanqui,NIEVA,29213,"4481,63",81.95,"85,70",61.73,100,,
10522,Amazonas,Luya,TINGO,1363,"102,67",84.66,"26,60",55.33,100,,
10523,Amazonas,Luya,TRITA,1378,"12,68",75.79,"15,20",59.19,100,,
10611,Amazonas,Rodriguez de Mendoza,TOTORA,448,"6,02",62.75,"24,50",94.37,100,,
10612,Amazonas,Rodriguez de Mendoza,VISTA ALEGRE,3803,"899,02",95.73,"87,40",72.93,100,,
10701,Amazonas,Utcubamba,BAGUA GRANDE,54033,"746,64",94.06,"33,00",38.26,100,,
10702,Amazonas,Utcubamba,CAJARURO,28491,"1746,23",97.03,"47,00",64.71,100,,
20204,Ancash,Aija,LA MERCED,2190,"153,08",95.23,"24,20",62.22,100,,
20205,Ancash,Aija,SUCCHA,828,"78,84",82.92,"34,90",69.33,100,,
20305,Ancash,Antonio Raymondi,MIRGAS,5370,"175,69",87.28,"52,60",62.09,100,,
20306,Ancash,Antonio Raymondi,SAN JUAN DE RONTOY,1648,"103,13",87.99,"23,20",72.84,100,,
20402,Ancash,Asuncion,ACOCHACA,3130,"80,97",91.46,"27,60",69.25,100,,
20401,Ancash,Asuncion,CHACAS,5619,"447,69",82.06,"29,10",64.41,100,,
